House Price,Year of Construction,E&V ID,Bedrooms,Full Bathrooms,Total surface approx.,Plot surface approx.,Half Bathrooms,Garage,Bathrooms
342000,2022,AM-251902,4,2,167.88,557.25,0,0,
8300000,1981,AM-251900,9,9,613.16,748700.0,1,0,
729900,1967,AM-251892,3,3,180.42,1578.27,0,1,
37000,1984,AM-251887,3,2,106.75,0.0,0,0,
329900,2002,AM-251886,3,2,101.26,636.17,0,1,
420000,2008,AM-251874,3,2,225.2,558.47,1,2,
499000,1976,AM-251873,3,2,165.74,481.58,0,2,
2695000,2008,AM-251871,5,6,370.59,6551.86,0,2,
335000,2020,AM-251857,4,2,178.37,0.0,0,0,
525000,2013,AM-251856,3,2,130.99,20200.0,0,1,
4200000,1998,AM-251854,6,7,1292.65,4930.69,2,4,
1150000,2019,AM-251849,3,3,219.9,0.0,1,2,
519000,2021,AM-251846,3,3,315.96,1942.49,0,2,
335000,1993,AM-251827,2,2,109.07,283.28,1,1,
390000,0,AM-251825,2,2,106.84,8093.71,0,1,
1395000,1999,AM-251824,3,2,151.99,809.37,0,2,
3895000,1992,AM-251822,3,2,281.03,0.0,1,2,
469000,1960,AM-251820,3,2,246.56,2104.37,0,1,
599950,2022,AM-251999,4,2,337.42,728.43,1,3,
609950,2022,AM-251998,4,2,337.42,607.03,1,3,
6700000,1956,AM-251989,5,4,359.63,743.41,1,0,
899000,1988,AM-251987,3,2,180.88,0.0,1,2,
839500,2002,AM-251974,4,3,280.01,0.0,0,3,
1880000,1976,AM-251962,4,2,200.76,0.0,0,2,
1695000,1889,AM-251959,6,4,621.8,3116.08,1,3,
1275000,1938,AM-251957,5,2,146.42,445.15,0,0,
699000,1991,AM-251946,3,2,143.81,556.44,0,2,
2195000,1958,AM-251943,4,2,152.64,890.31,0,2,
524777,2002,AM-251939,4,3,205.5,1740.15,0,2,
45000,2005,AM-251938,1,1,80.45,40.47,1,0,
515000,1983,AM-251935,2,2,88.16,505.86,0,0,
585000,1892,AM-251931,6,1,262.36,3763.58,0,0,
14995000,2022,AM-251930,4,4,301.01,779.83,1,2,
2499000,1948,AM-251929,4,3,264.22,2460.08,0,2,
1299000,1993,AM-251923,4,3,371.24,4613.42,0,2,
478000,1976,AM-251922,2,1,98.48,40.47,1,0,
