House Price,Year of Construction,E&V ID,Bedrooms,Full Bathrooms,Total surface approx.,Plot surface approx.,Garage,Bathrooms,Half Bathrooms
575000,1920,AM-253058,4,3,227.89,716.29,0,0,0
395000,0,AM-253055,2,2,80.83,6474.97,1,0,0
459000,1989,AM-253047,2,0,139.73,2063.9,0,2,0
550000,1989,AM-253046,2,0,139.73,4289.67,0,2,0
185000,1960,AM-253039,3,1,133.13,1861.55,0,0,0
295000,2002,AM-253037,3,2,151.62,0.0,2,0,0
424900,2022,AM-253035,3,2,110.37,364.22,0,0,1
424900,2022,AM-253034,3,2,110.37,392.55,0,0,1
380000,1959,AM-253027,4,2,194.72,791.57,1,0,0
2199000,2009,AM-253021,5,5,221.48,11900.0,0,0,0
675000,0,AM-253019,2,0,193.15,566.56,2,2,0
460000,2022,AM-253006,4,2,197.6,728.43,2,0,0
1195000,1905,AM-252980,3,2,194.26,1699.68,0,0,0
725000,2022,AM-252977,3,2,155.33,1861.55,2,0,0
650000,1998,AM-252975,4,3,187.29,7769.96,2,0,0
5500000,2014,AM-252971,3,3,306.39,1456.87,2,0,1
579900,2022,AM-252967,3,2,171.41,526.09,2,0,0
390000,1962,AM-252966,5,2,114.92,890.31,0,0,0
