House Price,Year of Construction,E&V ID,Bedrooms,Half Bathrooms,Full Bathrooms,Total surface approx.,Garage,Plot surface approx.,Bathrooms
790000,2023,AM-184755,3,1,3,232.26,2,0.0,
790000,2022,AM-184753,3,1,3,232.26,2,0.0,
790000,2023,AM-184746,3,1,3,278.71,2,0.0,
1345000,2023,AM-184739,4,1,3,276.39,2,0.0,
700000,2021,AM-184627,3,1,3,232.26,2,0.0,
795000,1942,AM-182811,3,0,1,95.04,0,445.15,
2975000,1975,AM-182447,4,0,4,329.81,2,2428.11,
799000,1955,AM-181819,4,0,3,241.55,0,404.69,
1650000,2022,AM-178976,4,0,3,364.18,3,20400.0,
1025000,2021,AM-178779,3,1,2,229.01,2,0.0,
59000,1985,AM-174200,3,0,0,158.49,0,0.0,
8200000,1927,AM-170264,5,2,4,966.19,4,9469.64,
3998000,1953,AM-169403,5,1,0,362.32,2,15300.0,
37800000,1962,AM-167160,6,1,5,984.03,0,21300.0,
1895000,2020,AM-166231,4,1,4,348.48,2,0.0,
3400000,1870,AM-163334,4,3,2,493.41,0,161.87,
799000,0,AM-162305,4,1,2,241.92,2,10900.0,
1385000,2021,AM-159351,5,1,1,349.59,2,0.0,
591815,2020,AM-192682,4,1,3,310.2,2,1092.65,
601055,2020,AM-192669,5,0,3,246.75,2,809.37,
850000,1816,AM-191607,3,0,1,185.81,0,18100.0,
995000,2020,AM-191303,3,1,2,229.01,2,0.0,
6000000,2021,AM-189545,6,2,6,684.97,2,971.25,
4250000,2021,AM-189023,6,2,1,775.55,4,4087.32,
1225000,2021,AM-187925,3,1,2,278.71,2,0.0,
1285000,2021,AM-186370,4,0,3,330.08,2,49600.0,
974000,2020,AM-185384,3,1,2,228.54,2,0.0,
979000,2020,AM-185383,3,1,2,229.01,2,0.0,
609900,2022,AM-185117,3,0,2,185.81,2,0.0,
650900,2022,0,3,1,2,232.26,2,0.0,
724900,2022,0,3,1,2,246.19,2,0.0,
724900,2021,0,3,1,2,245.73,2,0.0,
609900,2022,0,3,0,2,185.81,2,0.0,
790000,2023,0,3,1,3,232.26,2,0.0,
709375,0,AM-202849,4,1,3,303.89,3,1041.26,
795000,1950,AM-201763,3,0,2,110.0,3,509.5,
1064000,2021,AM-201711,3,1,2,228.54,2,0.0,
1064000,2021,AM-201710,3,1,2,229.01,2,0.0,
1290000,2003,AM-200904,3,1,4,392.61,0,15300.0,
726581,2020,AM-200590,5,0,4,337.7,2,809.37,
2800000,2020,AM-200239,7,1,11,1414.91,0,182100.0,
4995000,2022,AM-198581,6,2,3,776.67,4,4168.26,
420000,1985,AM-198228,3,0,3,217.39,2,1861.55,
16950000,2005,AM-197866,5,1,4,489.78,2,1092.65,
659000,2021,AM-197147,4,1,3,309.83,2,1699.68,
1800000,2021,AM-196980,3,1,3,365.57,0,8417.46,
599000,1997,AM-196080,2,1,1,147.16,0,28300.0,
989900,2021,AM-195876,3,1,2,228.54,1,0.0,
683445,2020,AM-193184,5,0,3,246.75,2,809.37,
365000,1963,AM-207693,3,0,2,148.46,2,849.84,0
399000,2021,AM-207642,2,0,2,120.77,2,789.14,0
1150000,1935,AM-207619,3,0,2,240.43,2,1877.74,0
220000,1932,AM-207498,4,1,1,181.9,2,287.33,0
752273,2021,AM-207433,4,1,3,324.23,0,809.37,0
1599000,1904,AM-207098,4,2,2,417.51,0,2751.86,0
825000,2010,AM-206824,2,0,3,382.95,2,647.5,0
5495000,1905,AM-206667,8,3,5,776.3,8,0.0,0
1595000,1910,AM-206559,6,0,5,292.92,2,4127.79,0
8495000,1988,AM-206083,13,2,4,1315.69,8,93400.0,0
1089000,2022,AM-205627,4,1,3,272.86,0,1052.18,0
989000,2022,AM-205617,4,1,3,272.86,0,849.84,0
654310,2020,AM-205211,5,0,3,246.75,2,809.37,0
895000,2001,AM-204817,3,0,0,211.82,0,0.0,0
14200000,1995,AM-204385,4,2,6,647.53,3,0.0,0
25000,1998,AM-203552,3,0,3,107.49,0,0.0,0
425000,2003,AM-203456,4,1,4,219.81,1,0.0,0
5495000,1998,AM-210278,5,2,4,696.77,3,5544.19,
1376950,2022,AM-210217,5,1,3,329.06,2,615.93,
235000,1972,AM-210062,2,1,2,91.42,0,932.8,
1027000,2022,AM-209916,4,1,0,272.86,2,526.09,
599900,0,AM-209729,4,0,3,216.84,3,899.21,
70000,1985,AM-209723,2,0,2,134.52,0,40.47,
1282500,2014,AM-209440,3,1,3,288.74,"2,323",0.0,
3750000,2023,AM-209326,5,2,2,561.32,3,5018.1,
9999700,1999,AM-209012,7,2,5,851.83,4,5948.88,
708828,2020,AM-208842,4,1,3,264.12,2,809.37,
25000,1985,AM-208660,2,0,2,134.52,0,0.0,
659900,2021,AM-208638,3,1,3,181.53,0,0.0,
375000,1992,AM-208439,3,1,1,170.38,2,1173.59,
599000,1989,AM-208050,4,1,3,243.41,0,12500.0,
